Male,Date,Clipped File Name,Timestamp Start,Timestamp End,Number of Motifs,Any motifs after .5 gap,Other notes
T231,5/7/2022,T231_May_07_2022_73,57m 46s,57m 48s,2,No,
T229,5/9/2022,T229_May_09_2022_58,52m 21s,52m 23s,2,No,
T235,2/17/2022,T235_February_17_2022_47,19m 12s,19m 16s,4,No,
T243,4/16/2022,T243_April_16_2022_17,41m 49s,41m 52s,3,No,
T236,6/14/2022,T236_June_14_2022_2,2h 1m 12s,2h 1m 15s,2,Yes,"There is a 3rd motif after a .6 sec pause, noisy"
T235,2/21/2022,T235_February_21_2022_26,45m 22s,45m 24s,3,No,
T234,7/1/2022,T234_July_01_2022_10,2h 7m 34s,2h 7m 37s,2,No,
T257,7/19/2022,T257_July_19_2022_13,2h 4m 48s,2h 4m 50s,2,No,
T247,6/8/2022,T247_June_08_2022_2,1h 59m 21s,1h 59m 22s,2,No,questionable intro notes
T257,7/17/2022,T257_July_17_2022_46,2h 20m 1s,2h 20m 3s,2,No,
T229,5/7/2022,T229_May_07_2022_23,42m 6s,42m 14s,7,Yes,There is an 8th motif after a .56 sec pause
